opcode,latitude_dd,longitude_dd,date_time_raw,date_raw,time_raw,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,observer_sessileinverts,successful_sessileinverts,presence_sessileinverts,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_relief_forward,successful_habitat_backward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,system_number,left_camera,right_camera,rear_camera,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
SAL-BV-C05,-34.40376508,123.5171644,2022-11-21 06:17:55,2022-11-21,06:17:55,2022-11-21T06:17:55Z,Salisbury Island,Eastern Recherche,Fished,83.5,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,14/11/2023,Daniel Agnello,14/11/2023,Cam recorded 027 but dropped at C05. unknown white fish with stripe - have changed to Hypooplectrodes cardinalis on Glenn's recommendation.
SAL-BV-C06,-34.42974534,123.5382463,2022-11-21 07:05:20,2022-11-21,07:05:20,2022-11-21T07:05:20Z,Salisbury Island,Eastern Recherche,Fished,90.8,Yes,Yes,Alex McLennan,Alex McLennan,Antonia Mallmann,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,1/11/2023,Claude Spencer,14/11/2023,  
SAL-BV-C07,-34.40662698,123.5222674,2022-11-21 06:27:43,2022-11-21,06:27:43,2022-11-21T06:27:43Z,Salisbury Island,Eastern Recherche,Fished,66.3,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,20/10/2023,Claude Spencer,9/11/2023,"Opcode recorded on cam maybe wrong. Yep, records C05. C. taurus outside period @108minutes."
SAL-BV-C08,-34.46984078,123.6226578,2022-11-22 00:24:37,2022-11-22,00:24:37,2022-11-22T00:24:37Z,Salisbury Island,Eastern Recherche,Fished,84.1,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,30/10/2023,Claude Spencer,14/11/2023,weird wrasse to double check
SAL-BV-C09,-34.47247845,123.5976589,2022-11-22 00:34:09,2022-11-22,00:34:09,2022-11-22T00:34:09Z,Salisbury Island,Eastern Recherche,Fished,86.4,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,12/10/2023,Claude Spencer,9/11/2023,need to double check caesioperca lepidoptera through all videos
SAL-BV-C10,-34.4601941,123.5699235,2022-11-22 00:57:28,2022-11-22,00:57:28,2022-11-22T00:57:28Z,Salisbury Island,Eastern Recherche,Fished,82.3,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,check,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,
SAL-BV-C11,-34.37083794,123.643165,2022-11-22 03:44:06,2022-11-22,03:44:06,2022-11-22T03:44:06Z,Salisbury Island,Eastern Recherche,Fished,80.9,Yes,No,Alex McLennan,Daniel Agnello,Antonia Mallmann,check,Yes,No,Yes,No,No,Yes,Yes,,Molly Gerrans,2,29,30,20,RAW2,17/10/2023,Claude Spencer,,Sponge completely blocks left camera
SAL-BV-C12,-34.34719439,123.6530581,2022-11-22 04:08:08,2022-11-22,04:08:08,2022-11-22T04:08:08Z,Salisbury Island,Eastern Recherche,Fished,80.4,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,"Sounder looks good, check P.chrysopleuron ID - unsure if species exists in Esperance?"
SAL-BV-C13,-34.3466204,123.6296098,2022-11-22 04:17:56,2022-11-22,04:17:56,2022-11-22T04:17:56Z,Salisbury Island,Eastern Recherche,Fished,78.2,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,25/10/2023,Claude Spencer,10/11/2023,
SAL-BV-D01,-34.37281759,123.571581,2022-11-22 06:11:31,2022-11-22,06:11:31,2022-11-22T06:11:31Z,Salisbury Island,Eastern Recherche,Fished,80.2,Yes,Yes,Daniel Agnello,Alex McLennan,Antonia Mallmann,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,25/10/2323,Alex McLennan,7/11/2023,D = Doc's choice. Three unknown sps - All commented with suggestions and all unmeasurable
SAL-BV-D02,-34.36921229,123.5598427,2022-11-22 06:18:51,2022-11-22,06:18:51,2022-11-22T06:18:51Z,Salisbury Island,Eastern Recherche,Fished,71.9,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,11/10/2023,Claude Spencer,3/11/2023,
SAL-BV-D03,-34.3663338,123.5575982,2022-11-22 06:23:56,2022-11-22,06:23:56,2022-11-22T06:23:56Z,Salisbury Island,Eastern Recherche,Fished,55.1,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,RAW2,17/10/2023,Claude Spencer,9/11/2023,Depth and location may be slightly off
SAL-BV-D04,-34.36384065,123.5590472,2022-11-22 06:28:54,2022-11-22,06:28:54,2022-11-22T06:28:54Z,Salisbury Island,Eastern Recherche,Fished,39.2,Yes,Yes,Alex McLennan,Alex McLennan,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,RAW2,2/11/2023,Claude Spencer,8/11/2023,
SAL-BV-D05,-34.35874449,123.5636954,2022-11-22 06:30:21,2022-11-22,06:30:21,2022-11-22T06:30:21Z,Salisbury Island,Eastern Recherche,Fished,49.1,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,25/10/2023,Claude Spencer,10/11/2023,
SAL-BV-D06,-34.35493861,123.5661515,2022-11-22 06:36:38,2022-11-22,06:36:38,2022-11-22T06:36:38Z,Salisbury Island,Eastern Recherche,Fished,41.6,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,31/10/2023,Claude Spencer,14/11/2023,
SAL-BV-D07,-34.34974407,123.5619386,2022-11-22 06:47:12,2022-11-22,06:47:12,2022-11-22T06:47:12Z,Salisbury Island,Eastern Recherche,Fished,32.3,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,26/10/2023,Claude Spencer,14/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-D08,-34.34624401,123.561841,2022-11-22 06:52:33,2022-11-22,06:52:33,2022-11-22T06:52:33Z,Salisbury Island,Eastern Recherche,Fished,33.7,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,3,31,32,21,RAW2,24/10/2023,Claude Spencer,10/11/2023,
